AriaId,FamilyInstrumentation,FileName,Instrumentation,Key,KeySignatureType,Label_BasicPassion,Label_Passions,Label_Sentiment,Label_TextId,Label_Time,Mode,NumberOfParts,PartBs_AbsoluteIntervallicKurtosis,PartBs_AbsoluteIntervallicMean,PartBs_AbsoluteIntervallicSkewness,PartBs_AbsoluteIntervallicStd,PartBs_Density,PartBs_HighestNoteIndex,PartBs_IntervallicKurtosis,PartBs_IntervallicMean,PartBs_IntervallicSkewness,PartBs_IntervallicStd,PartBs_IntervalsAugmentedAll,PartBs_IntervalsDiminishedAll,PartBs_IntervalsMajorAll,PartBs_IntervalsMinorAll,PartBs_IntervalsPerfectAll,PartBs_LeapsAll,PartBs_LowestNoteIndex,PartBs_RepeatedNotes,PartBs_SoundingDensity,PartBs_StepwiseMotionAll,PartVnI_AbsoluteIntervallicKurtosis,PartVnI_AbsoluteIntervallicMean,PartVnI_AbsoluteIntervallicSkewness,PartVnI_AbsoluteIntervallicStd,PartVnI_Density,PartVnI_HighestNoteIndex,PartVnI_IntervallicKurtosis,PartVnI_IntervallicMean,PartVnI_IntervallicSkewness,PartVnI_IntervallicStd,PartVnI_IntervalsAugmentedAll,PartVnI_IntervalsDiminishedAll,PartVnI_IntervalsMajorAll,PartVnI_IntervalsMinorAll,PartVnI_IntervalsPerfectAll,PartVnI_LeapsAll,PartVnI_LowestNoteIndex,PartVnI_RepeatedNotes,PartVnI_SoundingDensity,PartVnI_StepwiseMotionAll,PartVoice_AbsoluteIntervallicKurtosis,PartVoice_AbsoluteIntervallicMean,PartVoice_AbsoluteIntervallicSkewness,PartVoice_AbsoluteIntervallicStd,PartVoice_Density,PartVoice_HighestNoteIndex,PartVoice_IntervallicKurtosis,PartVoice_IntervallicMean,PartVoice_IntervallicSkewness,PartVoice_IntervallicStd,PartVoice_IntervalsAugmentedAll,PartVoice_IntervalsDiminishedAll,PartVoice_IntervalsMajorAll,PartVoice_IntervalsMinorAll,PartVoice_IntervalsPerfectAll,PartVoice_LeapsAll,PartVoice_LowestNoteIndex,PartVoice_RepeatedNotes,PartVoice_SoundingDensity,PartVoice_StepwiseMotionAll,PartVoice_SyllabicRatio,Score_Density,Score_MeasuresMean,Score_SoundingDensity,Score_SoundingMeasuresMean,Tempo,TempoGrouped1,TempoGrouped2,TempoNumeric,TimeSignature,TimeSignatureGrouped
0001,"ww,str",Did03M-Son_regina-1724-Sarro[1.05][0001].xml,"ob,vn,va,bs",A,s,wonder,"pride,boldness",Positive,Did03M,Present,major,7,1.308988933701512,4.544776119402985,1.2560042264026705,4.077187235697325,1.430851063829787,64,0.7542428441077345,0.0,0.1168511395140059,6.111939564773665,0.0074626865671641,0.0074626865671641,0.3805970149253731,0.1716417910447761,0.4328358208955223,0.5,40,0.0671641791044776,1.4619565217391304,0.4328358208955223,1.4795758730257047,2.988805970149253,1.6324183778314467,3.9076255124732735,1.430851063829787,85.0,2.312847120055392,-0.0335820895522388,0.4712342637964115,4.92288767652006,0.0,0.0,0.3134328358208955,0.3022388059701492,0.3843283582089552,0.3022388059701492,61.0,0.2798507462686567,1.868055555555556,0.417910447761194,4.094684948545844,2.477272727272727,1.9403301186171404,2.2884326590199766,1.175531914893617,78.0,2.053951006352756,-0.0318181818181818,-0.0538167862965173,3.376508472447255,0.0045454545454545,0.0,0.4318181818181818,0.35,0.2136363636363636,0.2636363636363636,64.0,0.0954545454545454,1.625,0.6409090909090909,1.6616541353383458,1.2106382978723405,47.0,1.546195652173913,36.8,Andante e spiccato,Andante,Moderate,76.0,4/4,simple duple
0002,"br,str",Did12M-Non_ha-1770-Piccinni[1.18][0002].xml,"hn,vn,va,bs",c,b,hatred,"anger,pity",Negative,Did12M,Future,minor,7,4.662066775114239,1.5495867768595042,2.241498746242314,2.86183204339949,1.5544871794871795,60,5.585306119083189,0.0,-0.5252705602416075,3.255191744264148,0.0,0.0,0.134297520661157,0.0971074380165289,0.768595041322314,0.1983471074380165,41,0.6363636363636364,1.6059602649006623,0.1652892561983471,7.200101345080487,2.286106032906764,2.232583393067081,2.892943241103949,3.467948717948718,87.0,5.101180665221628,0.0045703839122486,0.6150457902317419,3.687839757242235,0.0054844606946983,0.016453382084095,0.2714808043875685,0.2815356489945155,0.4250457038391225,0.3153564899451554,55.0,0.3382084095063985,3.5592105263157894,0.346435100548446,4.941723129821357,2.1580188679245285,2.0347077315836057,2.502203632039492,1.3365384615384617,82.0,3.555113581860676,0.0117924528301886,0.5815589219107371,3.305894526975869,0.0023584905660377,0.0070754716981132,0.3396226415094339,0.3066037735849056,0.3443396226415094,0.2476415094339622,63.0,0.2594339622641509,1.7820512820512822,0.4929245283018867,1.3495145631067962,2.514102564102564,156.0,2.7160664819944595,144.4,Andantino sostenuto,Andantino,Moderate,96.0,2/2,simple duple
0003,str,Did12M-Non_ha-1724-Sarro[1.17][0003].xml,"vn,va,bs",f,b,hatred,"anger,pity",Negative,Did12M,Future,minor,5,2.298311358481839,2.6,1.6746794086423638,3.4598129540274134,1.4085365853658536,61,2.727836990106425,0.0,0.1825858876423187,4.331261401429256,0.0043478260869565,0.0217391304347826,0.2043478260869565,0.208695652173913,0.5608695652173913,0.3304347826086956,41,0.3869565217391304,1.44375,0.2826086956521739,6.4325817404157775,2.2913385826771653,2.3279856524588083,2.84267378510884,1.554878048780488,85.0,4.799310552977316,0.0,0.5294295588132801,3.6540085736252017,0.0039370078740157,0.0118110236220472,0.2952755905511811,0.3425196850393701,0.3464566929133858,0.2480314960629921,64.0,0.2401574803149606,1.59375,0.5118110236220472,3.8335520130878376,2.103004291845493,1.9321672594436288,2.335564519550145,1.4268292682926829,77.0,2.880584625283785,0.0,0.4944903608715793,3.1458785297811374,0.0128755364806866,0.0128755364806866,0.3133047210300429,0.3648068669527897,0.296137339055794,0.2145922746781116,64.0,0.2017167381974249,1.6714285714285717,0.5836909871244635,1.212435233160622,1.4609756097560975,41.0,1.5358974358974358,39.0,Andante amoroso,Andante,Moderate,480.0,4/4,simple duple
0005,str,Did02M-Diro_che-1730-Sarro[1.03][0005].xml,"vn,va,bs",Bb,b,love,"love,sadness,generosity",Positive,Did02M,Future,major,5,1.087065683723479,2.984126984126984,1.3454153245500122,3.3779543025991163,1.7362637362637363,62,1.4543429112742317,0.0,-0.0759207604910873,4.510426703160798,0.0,0.0095238095238095,0.2888888888888888,0.2063492063492063,0.4952380952380952,0.3682539682539683,36,0.2825396825396825,1.7555555555555555,0.3492063492063492,7.256286161586837,2.9564315352697097,2.444917876204338,3.503513253721678,2.60989010989011,86.0,4.948352017534381,-0.0145228215767634,0.8166120620277185,4.586180620345243,0.0,0.0041493775933609,0.425311203319502,0.2572614107883817,0.3132780082987552,0.2883817427385892,58.0,0.1514522821576763,2.698863636363636,0.5601659751037344,3.881824885698656,2.295302013422819,1.964314430345674,2.460470940399037,1.598901098901099,82.0,2.76421792926016,0.0,1.1297658905131227,3.367501646631719,0.0,0.0067114093959731,0.4060402684563758,0.3355704697986577,0.2516778523489933,0.2315436241610738,65.0,0.1778523489932885,2.4661016949152543,0.5906040268456376,1.7530120481927711,2.025274725274725,91.0,2.258578431372549,81.6,ND,ND,nd,,2/2,simple duple
0006,"ww,str",Did03M-Son_regina-1730-Sarro[1.05][0006].xml,"ob,vn,va,bs",A,s,wonder,"pride,boldness",Positive,Did03M,Present,major,7,1.6757130267961262,4.516556291390729,1.3233317217773717,3.883441814600231,1.515,64,0.7484823478033014,0.0,0.309843884552007,5.962228841421226,0.009933774834437,0.0,0.390728476821192,0.2119205298013245,0.3874172185430463,0.5331125827814569,40,0.043046357615894,1.5459183673469388,0.423841059602649,2.49111149400035,2.6445086705202314,1.8390889825852812,3.492133838128611,1.735,86.0,2.9959989285194943,-0.0260115606936416,0.4106094521468803,4.382695185581703,0.0,0.0,0.3323699421965317,0.2774566473988439,0.3901734104046243,0.2803468208092485,61.0,0.3005780346820809,2.16875,0.4190751445086705,4.638783830913577,2.3875,1.9369142571591904,2.1963858674333814,1.205,78.0,2.142969953099401,-0.0291666666666666,-0.1082579584429571,3.2476549849046914,0.0041666666666666,0.0,0.4458333333333333,0.3125,0.2375,0.275,64.0,0.1333333333333333,1.6283783783783785,0.5916666666666667,1.6853146853146854,1.395,50.0,1.701219512195122,41.0,Spiritoso,Spiritoso,Fast,90.0,4/4,simple duple
0007,str,Did12M-Non_ha-1730-Sarro[1.17][0007].xml,"vn,va,bs",f,b,hatred,"anger,pity",Negative,Did12M,Future,minor,5,0.9039630701284276,3.3464566929133857,1.3717591277801018,4.038114757477773,1.4325842696629214,65,1.5916507581403945,-0.0472440944881889,0.3210818416009704,5.248539443312631,0.0039370078740157,0.0157480314960629,0.2165354330708661,0.2440944881889764,0.5196850393700787,0.3818897637795275,41,0.2992125984251969,1.5,0.3188976377952756,14.944758292275182,2.1296928327645053,3.635568020561273,3.1071458031948658,1.651685393258427,84.0,11.309228506680032,0.0,1.576966962769909,3.769015713957,0.0170648464163822,0.0068259385665529,0.2866894197952218,0.409556313993174,0.2798634812286689,0.2116040955631399,64.0,0.2150170648464164,1.75,0.5733788395904437,4.025774279689454,2.11353711790393,1.9226771500591069,2.293247175810281,1.2921348314606742,77.0,2.816924041639088,0.0,0.7420389023452051,3.1217966037344134,0.0131004366812227,0.0131004366812227,0.3231441048034934,0.3318777292576419,0.3187772925764192,0.2270742358078602,64.0,0.2096069868995633,1.7692307692307692,0.5633187772925764,1.1794871794871795,1.4606741573033708,89.0,1.625,80.0,Andante amoroso,Andante,Moderate,76.0,2/4,simple duple
0008,str,Did03M-Son_regina-1739-Lampugnani[1.05][0008].xml,"vn,va,bs",C,n,wonder,"pride,boldness",Positive,Did03M,Present,major,5,4.838549071234967,1.5057833859095688,2.3977286420829147,3.248273742576687,1.7761194029850746,62,6.233046760932391,-0.0126182965299684,0.4127933227732301,3.580627492852356,0.0021030494216614,0.0,0.0788643533123028,0.1009463722397476,0.8180862250262881,0.1692954784437434,36,0.7129337539432177,1.859375,0.1177707676130389,4.99400161774994,3.0156599552572705,2.0612097247430965,3.556263619327558,1.6585820895522387,84.0,3.712769377703043,-0.0134228187919463,0.8584864138063809,4.663820258351632,0.0078299776286353,0.0078299776286353,0.4328859060402684,0.2483221476510067,0.3031319910514541,0.3008948545861297,55.0,0.2203579418344519,1.683712121212121,0.4787472035794183,6.278886758853529,3.016260162601626,2.4190080833480887,3.614547313282478,0.6809701492537313,81.0,4.668859773994741,-0.018970189701897,1.6238095264155494,4.710322616764189,0.002710027100271,0.016260162601626,0.4688346883468834,0.2737127371273712,0.2384823848238482,0.2574525745257452,59.0,0.1273712737127371,1.169871794871795,0.6151761517615176,1.862244897959184,1.4977611940298508,134.0,1.6809045226130652,119.4,Allegro,Allegro,Fast,120.0,4/4,simple duple
0009,str,Did18M-Ah_non_lasciarmi-1739-Lampugnani[2.07][0009].xml,"vn,va,bs",Eb,b,sadness,"sadness,love",Negative,Did18M,Future,major,5,4.743859335653417,1.6594427244582044,2.222124212973697,2.8210272454436542,0.8563829787234043,60,5.358144730028672,-0.0371517027863777,-0.2275381189326911,3.274005552668225,0.0092879256965944,0.0,0.1640866873065015,0.1486068111455108,0.6780185758513931,0.2074303405572755,39,0.5541795665634675,0.8655913978494624,0.2383900928792569,6.089446873866075,2.6991869918699187,2.2822757013836665,3.331180817903684,0.9388297872340424,84.0,4.592519613613471,0.0,0.6001867692102593,4.289775508467019,0.013550135501355,0.016260162601626,0.3658536585365853,0.2330623306233062,0.3712737127371274,0.2574525745257452,55.0,0.2303523035230352,0.9592391304347826,0.5121951219512195,4.848935834174101,2.453608247422681,2.045584957810266,2.675639602129455,0.7579787234042553,80.0,3.218290897298573,0.0,0.8197986184753913,3.63318042491699,0.0068728522336769,0.0309278350515463,0.4261168384879725,0.2474226804123711,0.2886597938144329,0.2302405498281786,58.0,0.1958762886597938,1.0178571428571428,0.5738831615120275,2.111111111111111,0.8781914893617021,94.0,0.9466743119266054,87.2,ND,ND,nd,,4/4,simple duple
0010,"ww,br,str",Did03M-Son_regina-1766-Bernasconi[1.05][0010].xml,"ob,hn,vn,va,bs",F,b,wonder,"pride,boldness",Positive,Did03M,Present,major,9,1.652274105631454,2.802139037433155,1.5215238508289186,3.573425000611241,1.7833333333333334,62,2.1752209682023915,-0.0160427807486631,0.2375431986525144,4.542202446070155,0.0026737967914438,0.0013368983957219,0.25,0.1270053475935829,0.6189839572192514,0.4117647058823529,41,0.4144385026737968,1.7833333333333334,0.1737967914438502,7.560610875082409,2.9494949494949494,2.18300608382932,3.3258820360426333,2.1214285714285714,86.0,4.402581937309208,-0.0089786756453423,-0.1718271182581839,4.446426183988341,0.0011223344556677,0.0011223344556677,0.3849607182940516,0.2760942760942761,0.3367003367003367,0.3580246913580246,55.0,0.2210998877665544,2.1838235294117645,0.4208754208754209,2.9711598792632907,2.791176470588235,1.697582173535075,2.808632672830351,0.8071428571428572,79.0,1.9509562735300072,0.0147058823529411,0.6306415689105503,3.962555740407383,0.0029411764705882,0.0,0.4,0.3058823529411765,0.2911764705882353,0.3382352941176471,60.0,0.1647058823529411,1.2282608695652173,0.4970588235294118,1.5694444444444444,1.7252380952380952,105.0,1.8752587991718428,96.6,Allegro,Allegro,Fast,120.0,4/4,simple duple
0011,"ww,br,str",Did18M-Ah_non_lasciarmi-1766-Bernasconi[2.07][0011].xml,"fl,ob,hn,vn,va,bs",G,s,sadness,"sadness,love",Negative,Did18M,Future,major,11,-0.4659799929056358,5.396449704142012,0.7639849825889521,4.875566082828395,0.759009009009009,62,-0.0197392617206824,0.0,0.2076120925928248,7.278683156083034,0.0088757396449704,0.0029585798816568,0.1775147928994082,0.1153846153846153,0.6952662721893491,0.6005917159763313,38,0.1745562130177514,0.759009009009009,0.2248520710059171,10.83219672495675,2.555133079847909,2.8595880538296874,2.7924732648025428,1.1756756756756757,86.0,5.923873771892099,-0.0304182509505703,1.1659825869811962,3.786571085644333,0.0038022813688212,0.0095057034220532,0.4049429657794677,0.3745247148288973,0.2072243346007604,0.2984790874524715,62.0,0.1292775665399239,1.288888888888889,0.5722433460076045,4.8650495625540255,2.1323828920570267,1.918369151391627,1.9868933354772376,1.0945945945945943,83.0,2.247747494429449,0.0020366598778004,1.0917864445045409,2.916175144980893,0.0020366598778004,0.0162932790224032,0.395112016293279,0.3808553971486761,0.2057026476578411,0.2566191446028513,64.0,0.1588594704684317,1.3388429752066116,0.5845213849287169,2.761363636363636,0.9585585585585586,148.0,1.037037037037037,136.8,Allegretto affettuoso,Allegretto,Fast,72.0,3/8,simple triple
